metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
053A6MAK50CT901XQ01,°C,kgw,4,053_A6_MAK50_CT901%#_#%%#_#%XQ01,external - °C
053A6MAK50CT902XQ01,°C,kgw,4,053_A6_MAK50_CT902%#_#%%#_#%XQ01,external - °C
053A6MAK50CY901XQ01,µm,kgw,4,053_A6_MAK50_CY901%#_#%%#_#%XQ01,external - µm
053A6MAK50CY902XQ01,µm,kgw,4,053_A6_MAK50_CY902%#_#%%#_#%XQ01,external - µm
053A6MAK51CT901XQ01,°C,kgw,4,053_A6_MAK51_CT901%#_#%%#_#%XQ01,external - °C
053A6MAK51CT902XQ01,°C,kgw,4,053_A6_MAK51_CT902%#_#%%#_#%XQ01,external - °C
053A6MAK51CY901XQ01,µm,kgw,4,053_A6_MAK51_CY901%#_#%%#_#%XQ01,external - µm
053A6MAK51CY902XQ01,,kgw,4,053_A6_MAK51_CY902%#_#%%#_#%XQ01,external - DT5 WelSchwg Getr Rad hi
053A6MAL52AA751XB26,,kgw,4,053_A6_MAL52_AA751%#_#%%#_#%XB26,external
053A6MAL52AA751XB27,,kgw,4,053_A6_MAL52_AA751%#_#%%#_#%XB27,external
053A6MAL52AA751XB55,,kgw,4,053_A6_MAL52_AA751%#_#%%#_#%XB55,external
053A6MAL52AA751XB95,,kgw,4,053_A6_MAL52_AA751%#_#%%#_#%XB95,external
053A6MAL57CT001XQ01,°C,kgw,4,053_A6_MAL57_CT001%#_#%%#_#%XQ01,external - °C
053A6MAL57CT002XQ01,°C,kgw,4,053_A6_MAL57_CT002%#_#%%#_#%XQ01,external - °C
053A6MAM50CP901XQ01,mbar,kgw,4,053_A6_MAM50_CP901%#_#%%#_#%XQ01,external - mbar
053A6MAV50CL001XQ01,%,kgw,4,053_A6_MAV50_CL001%#_#%%#_#%XQ01,external - %
053A6MAV50CT001XQ01,°C,kgw,4,053_A6_MAV50_CT001%#_#%%#_#%XQ01,external - °C
053A6MAV55CT901XQ01,°C,kgw,4,053_A6_MAV55_CT901%#_#%%#_#%XQ01,external - °C
053A6MAV58CP901XQ01,bar,kgw,4,053_A6_MAV58_CP901%#_#%%#_#%XQ01,external - bar
053A6MAX53CP901XQ01,bara,kgw,4,053_A6_MAX53_CP901%#_#%%#_#%XQ01,external - bara
